baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000025608.9	3531.24907074891	8.2247574205604	0.214704781477411	38.3072857714896	0	0
ENSMUSG00000054889.10	5483.97138999772	4.64240523624315	0.117954395970383	39.3576279887762	0	0
ENSMUSG00000097767.8	3292.8645332912	6.64831251221271	0.165508140394602	40.1690967970634	0	0
ENSMUSG00000000303.12	2232.8939141311	5.79732107241867	0.15455583385233	37.5095583771862	6.43419787520016e-308	3.10128337584648e-304
ENSMUSG00000020758.15	5077.50406266823	4.29939042106689	0.116752370880813	36.8248660702227	7.38677564269179e-297	2.84834068782196e-293
ENSMUSG00000027375.14	3080.02612529851	5.68370807801676	0.164510177553679	34.5492793366064	1.4613254564196e-261	4.69572579996164e-258
ENSMUSG00000037820.15	3133.33384749045	4.04147512198175	0.117228260170829	34.4752631839146	1.88394006822212e-260	5.18890921647464e-257
ENSMUSG00000024406.16	1844.08055343857	4.50345794611551	0.133199674005623	33.8098270865544	1.41432682575116e-250	3.40852765006029e-247
ENSMUSG00000045545.8	3279.97734238886	9.08798414930085	0.268828222693437	33.8059153843549	1.61448416464299e-250	3.4585838549241e-247
ENSMUSG00000019102.10	3401.91259114591	3.82763156607928	0.113289193432953	33.7863784716991	3.12634611373054e-250	6.02759530727249e-247
ENSMUSG00000047586.4	1931.0476441821	7.48891628377409	0.223689299785162	33.4790993175207	9.71124435326077e-246	1.70211628300789e-242
ENSMUSG00000053797.10	1891.89420082979	7.85604841914916	0.238326329477812	32.9634096088429	2.71816741210061e-238	4.36718897544165e-235
ENSMUSG00000030693.10	992.565157572709	5.61236678984604	0.172100528714242	32.6109793605857	2.86612445292153e-233	4.25068303479439e-230
ENSMUSG00000026413.12	1340.76369408204	5.44550446735143	0.172345972876886	31.5963545678052	4.14329803102732e-219	5.70591328844333e-216
ENSMUSG00000037185.9	1140.27335331476	4.98926514448039	0.158382946438989	31.501277483825	8.34351058289646e-218	1.07241922692163e-214
ENSMUSG00000056602.12	944.514620075667	5.4825681840319	0.175165482727305	31.2993638853327	4.76023898079498e-215	5.73608797185795e-212
ENSMUSG00000047281.3	852.067168251734	5.29019883587502	0.171258140358406	30.890203670341	1.61715320681651e-209	1.83404198984838e-206
ENSMUSG00000031995.9	1020.2296995469	5.97484419025176	0.198381295806513	30.1179814657487	2.81796947768433e-199	3.01835841831966e-196
ENSMUSG00000063450.14	1604.5514876088	3.50559827884263	0.122303320823054	28.6631487620394	1.09927529004479e-180	1.1154751364244e-177
ENSMUSG00000074796.10	715.410590572121	4.21710926432778	0.14867274838495	28.3650454447015	5.46012630294929e-177	5.26356175604312e-174
ENSMUSG00000042793.13	799.766093655296	4.10646585607447	0.145090096483537	28.3028680495806	3.18613144797203e-176	2.92517211032861e-173
ENSMUSG00000034282.3	1017.69831651294	6.81990415532022	0.242926724478819	28.0739147574307	2.040059928118e-173	1.78783433700523e-170
ENSMUSG00000028435.8	802.494633763443	6.42026547104365	0.23362531529938	27.4810350188993	2.95907083962574e-166	2.48047329512975e-163
ENSMUSG00000025432.11	993.222158553124	6.53828002314356	0.243925909495002	26.8043687391787	2.87372665131514e-158	2.30856040988983e-155
ENSMUSG00000022871.13	881.079377039528	6.88035220597492	0.26081706122523	26.3799928334954	2.32490504761177e-153	1.79296677271819e-150
ENSMUSG00000049382.10	4732.57568245327	11.0066419613211	0.420507642694788	26.174653784616	5.16580765655218e-151	3.83064506224331e-148
ENSMUSG00000061126.5	1273.70128627704	8.09526133676258	0.310995329401578	26.0301701390166	2.25642580354903e-149	1.61125516638612e-146
ENSMUSG00000003153.10	821.667526913225	4.7322152672607	0.184393318183164	25.6637025348177	2.97321244648877e-145	2.04726914172513e-142
ENSMUSG00000040703.11	1098.90171633766	7.39819820909095	0.295475415036289	25.0382868848237	2.34210825953365e-138	1.55709818082099e-135
ENSMUSG00000020788.15	1687.20127411662	9.06128502854556	0.365133943776952	24.8163316037273	5.97452717513028e-136	3.8396294645504e-133
ENSMUSG00000012350.15	964.100742549748	7.63895664594152	0.314937271168843	24.2554862356896	5.78708711423297e-130	3.59919482459392e-127
ENSMUSG00000060716.7	672.434288969352	6.85345999463535	0.282896198838492	24.2260589671198	1.18245592645557e-129	7.12429695689481e-127
ENSMUSG00000038295.14	504.899749587088	5.27664799997683	0.218332443485657	24.1679519348368	4.83558941594984e-129	2.82515648301554e-126
ENSMUSG00000020911.14	1360.26398462764	3.65390941216699	0.152234610314175	24.0018311514458	2.66101503974657e-127	1.50895205783276e-124
ENSMUSG00000031297.14	642.928600509122	3.97960112876033	0.168165187990827	23.664833229202	8.30474007089003e-124	4.57472538762171e-121
ENSMUSG00000038807.19	889.966303847561	3.05768827507882	0.130623181076136	23.4084658625532	3.50416907404531e-121	1.87667721521093e-118
ENSMUSG00000024421.16	519.882992064311	6.19111069984464	0.26483771351494	23.3769980025726	7.32587764583713e-121	3.81737624356054e-118
ENSMUSG00000018849.6	845.272927752882	3.66217454698217	0.15755020478094	23.2444924592393	1.61722114575327e-119	8.20526939213765e-117
ENSMUSG00000074227.12	602.010724402958	3.95485301476758	0.170671371954119	23.1723280213084	8.6592592847969e-119	4.28078253874062e-116
ENSMUSG00000048373.8	705.709552605478	7.14252143983535	0.308420947547264	23.1583538557827	1.19765012775323e-118	5.77267361577055e-116
ENSMUSG00000024331.11	586.727745036744	5.53515820254147	0.239641619158374	23.0976498238538	4.88876320891056e-118	2.29891108945843e-115
ENSMUSG00000043439.5	529.074321140744	5.23247974243427	0.227503010724207	22.9996065800527	4.70372348863972e-117	2.15923306811843e-114
ENSMUSG00000063011.7	6755.72875634388	1.98256307079063	0.087361581009738	22.6937636415902	5.16256008170116e-114	2.31474786919066e-111
ENSMUSG00000019866.15	1310.91361380899	2.96144987177098	0.130635062675374	22.6696402261477	8.93210583514465e-114	3.91388637503611e-111
ENSMUSG00000074272.10	421.01589633192	4.85147833163161	0.216256470363584	22.4339106408007	1.83754378151608e-111	7.87285424613999e-109
ENSMUSG00000018166.8	558.793774695042	6.7655846651179	0.302922373170627	22.3343841998328	1.7127288846541e-110	7.17856802089807e-108
ENSMUSG00000026479.13	532.06357958872	3.21237729564309	0.144867036465101	22.1746601161194	6.03294022681889e-109	2.47478909729932e-106
ENSMUSG00000115388.2	489.643762283533	6.41290374611499	0.289474184772014	22.1536291782486	9.62450344317921e-109	3.86584221634365e-106
ENSMUSG00000030494.13	422.895130566024	5.58017367207603	0.253058691332065	22.0509070156918	9.36284061519294e-108	3.68399116450857e-105
ENSMUSG00000022123.9	443.677718072583	4.75428962510328	0.216052006376357	22.0053018939405	2.56208118479664e-107	9.87938504857586e-105
ENSMUSG00000037411.10	5822.50488766246	-2.09981139174948	0.0985351527152848	-21.3102769304761	9.11546244552309e-101	3.44600227352324e-98
ENSMUSG00000035557.9	4523.78407779639	11.8326495788173	0.556810334069905	21.2507722195612	3.24288220336092e-100	1.20236094001535e-97
ENSMUSG00000005968.14	721.874100639078	2.826757272966	0.133647875810707	21.1507833986804	2.71397328608354e-99	9.87271791616804e-97
ENSMUSG00000030513.14	981.542190971727	2.51197637599351	0.118959769304952	21.1161839895141	5.6477074508098e-99	2.01644073428913e-96
ENSMUSG00000056413.16	392.90290119311	5.6347492166568	0.269168637805016	20.9338995159554	2.63069829298806e-97	9.22179328887451e-95
ENSMUSG00000046410.10	350.673359111978	4.42444782104216	0.211976279100257	20.8723723230823	9.54760865843387e-97	3.28710526668937e-94
ENSMUSG00000029019.8	334.928244844442	5.36032477704149	0.257118768361767	20.8476604457731	1.60059440439553e-96	5.41394037135891e-94
ENSMUSG00000026639.18	343.125413516289	4.3450758868549	0.208440819897745	20.8456092668723	1.67068410563399e-96	5.55358440631437e-94
ENSMUSG00000048699.4	1971.48865611574	10.2756151644332	0.493847454478194	20.8072656267724	3.71964160204288e-96	1.21550322182011e-93
